outer_fold,segments,top_k,pr_auc,f1
6,5,1,0.8802098194203457,0.767936507936508
6,5,2,0.877422928922929,0.7659259259259259
6,5,3,0.794968594612474,0.7761904761904762
6,6,1,0.8700209080047788,0.7116594516594517
6,6,2,0.8798317885817883,0.7409523809523809
6,6,3,0.843277090031476,0.76984126984127
6,7,1,0.8919484910576863,0.7237037037037038
6,7,2,0.8691895066895067,0.7276190476190476
6,7,3,0.8395325779884605,0.7221164021164022
6,8,1,0.8603248875307697,0.7249206349206349
6,8,2,0.8824119460138949,0.7242135642135642
6,8,3,0.8679768681666213,0.6985858585858585
6,9,1,0.8876287532556881,0.7701587301587303
6,9,2,0.872970769906052,0.7536507936507936
6,9,3,0.846894935149321,0.7584126984126983
6,10,1,0.8507027286779383,0.6892063492063492
6,10,2,0.8456549267637977,0.69
6,10,3,0.844978291688818,0.743068783068783
6,11,1,0.8385382790774948,0.7584126984126983
6,11,2,0.866310753989782,0.7104761904761905
6,11,3,0.8631379731379731,0.7125925925925926
6,12,1,0.8718775593775594,0.7109390609390609
6,12,2,0.8698328634568226,0.7582683982683982
6,12,3,0.8576066488530256,0.711005291005291
6,13,1,0.8352399817404169,0.7222222222222222
6,13,2,0.8418899126877849,0.7096825396825396
6,13,3,0.8441839816442147,0.7104761904761905
6,14,1,0.785891751430967,0.7406349206349208
6,14,2,0.8473516268882402,0.7733333333333334
6,14,3,0.8326517851517851,0.743068783068783
6,15,1,0.8115314913844325,0.7311111111111112
6,15,2,0.8445882202511192,0.7168398268398268
6,15,3,0.8511044831436988,0.7409523809523809
7,1,1,0.6197846171321094,0.5242328042328043
7,1,2,0.6197846171321094,0.5242328042328043
7,1,3,0.6197846171321094,0.5242328042328043
7,2,1,0.7150560054951677,0.6374603174603174
7,2,2,0.6197846171321094,0.5242328042328043
7,2,3,0.6197846171321094,0.5242328042328043
7,3,1,0.8400070239113567,0.6483790283790284
7,3,2,0.8050704278829032,0.6552380952380952
7,3,3,0.6197846171321094,0.5242328042328043
7,4,1,0.8512215919022498,0.6842328042328044
7,4,2,0.8114975102446499,0.7537758537758538
7,4,3,0.6667208209763511,0.6342857142857141
7,5,1,0.8743095466624878,0.728008658008658
7,5,2,0.8225263917369179,0.7537758537758538
7,5,3,0.7060298041142091,0.6771957671957671
7,6,1,0.8191732804232803,0.7229100529100528
7,6,2,0.8080236103241653,0.7247619047619047
7,6,3,0.7464787324436447,0.6984126984126983
7,7,1,0.8658851055356429,0.7105483405483406
7,7,2,0.8310578612476145,0.6788552188552188
7,7,3,0.7711654406301445,0.6915873015873015
7,8,1,0.8078022396283266,0.6650793650793652
7,8,2,0.8304611421716683,0.6742857142857143
7,8,3,0.814173296791264,0.7095238095238093
7,9,1,0.8368689302899828,0.6864742664742666
7,9,2,0.8200989405806849,0.6857142857142856
7,9,3,0.768838452970032,0.6813371813371811
7,10,1,0.827216801652084,0.6972150072150073
7,10,2,0.8173425435964135,0.7220298220298221
7,10,3,0.7931427212327499,0.6942857142857142
7,11,1,0.771957856957857,0.6996825396825398
7,11,2,0.8203556909617042,0.7374603174603175
7,11,3,0.8039654106019507,0.7374603174603175
7,12,1,0.8188055700749198,0.6341269841269842
7,12,2,0.8203175646000483,0.6712698412698412
7,12,3,0.7978800998772396,0.6942857142857142
7,13,1,0.7823902456881181,0.5997883597883598
7,13,2,0.8102013666056993,0.7187830687830687
7,13,3,0.796338648901674,0.7374603174603175
7,14,1,0.7421101560697931,0.6223809523809524
7,14,2,0.8096008989452828,0.6757864357864357
7,14,3,0.7824300992744833,0.7247619047619047
7,15,1,0.7350814972525498,0.6547619047619049
7,15,2,0.8005724731824523,0.67
7,15,3,0.7965821394707563,0.7247619047619047
8,1,1,0.6608526125544614,0.6403174603174603
8,1,2,0.6608526125544614,0.6403174603174603
8,1,3,0.6608526125544614,0.6403174603174603
8,2,1,0.7320349147348324,0.7200000000000001
8,2,2,0.6608526125544614,0.6403174603174603
8,2,3,0.6608526125544614,0.6403174603174603
8,3,1,0.8691969847441745,0.7174603174603174
8,3,2,0.8180955875890973,0.6838095238095238
8,3,3,0.6608526125544614,0.6403174603174603
8,4,1,0.8949317576887955,0.7158730158730158
8,4,2,0.8278768092932178,0.7841269841269842
8,4,3,0.700019291051116,0.7025396825396826
8,5,1,0.8716941293041083,0.7809523809523811
8,5,2,0.8331995008544243,0.7841269841269842
8,5,3,0.7331611270380357,0.7022222222222222
8,6,1,0.867149470899471,0.7884126984126983
8,6,2,0.8143066036466322,0.7580952380952382
8,6,3,0.7732779647902553,0.7022222222222222
8,7,1,0.8690717751747161,0.7125396825396825
8,7,2,0.8666214371053083,0.7415873015873016
8,7,3,0.7833375699246995,0.7580952380952382
8,8,1,0.821454587914856,0.7638095238095238
8,8,2,0.8592522680022678,0.746984126984127
8,8,3,0.827344227068467,0.7580952380952382
8,9,1,0.8577491299550123,0.7223809523809523
8,9,2,0.8289572002072,0.7580952380952382
8,9,3,0.7975945063740801,0.7237037037037037
8,10,1,0.8367526109423643,0.7158730158730157
8,10,2,0.8454076446045594,0.7238095238095238
8,10,3,0.8052443022313898,0.7580952380952382
8,11,1,0.8009960235953443,0.7419047619047618
8,11,2,0.8348722378487488,0.7580952380952382
8,11,3,0.8148852270911092,0.7580952380952382
8,12,1,0.8503326264167224,0.7060846560846561
8,12,2,0.8234852120317235,0.7580952380952382
8,12,3,0.8051037654364165,0.7580952380952382
8,13,1,0.7983317539637224,0.7441269841269842
8,13,2,0.842941325420229,0.7150793650793651
8,13,3,0.8018693681042183,0.7403174603174604
8,14,1,0.776460977229992,0.7419047619047618
8,14,2,0.821746749982044,0.7403174603174604
8,14,3,0.7888941934261626,0.7580952380952382
8,15,1,0.790494101415154,0.733968253968254
8,15,2,0.805849071952013,0.7403174603174604
8,15,3,0.7943524741416899,0.7580952380952382
9,1,1,0.7093766273585227,0.5824338624338625
9,1,2,0.7093766273585227,0.5824338624338625
9,1,3,0.7093766273585227,0.5824338624338625
9,2,1,0.7890131691966779,0.6978306878306878
9,2,2,0.7093766273585227,0.5824338624338625
9,2,3,0.7093766273585227,0.5824338624338625
9,3,1,0.917037037037037,0.756984126984127
9,3,2,0.8598277603116313,0.6719047619047619
